		=== gfortran: Unexpected fails for rv64gc_zba_zbb_zbc_zbs lp64d medlow  ===
FAIL: gcc.target/riscv/rvv/autovec/early-break-3.c -O3 -ftree-vectorize (internal compiler error: Segmentation fault)
FAIL: gcc.target/riscv/rvv/autovec/early-break-3.c -O3 -ftree-vectorize (test for excess errors)
FAIL: gcc.target/riscv/rvv/autovec/early-break-4.c -O3 -ftree-vectorize (internal compiler error: Segmentation fault)
FAIL: gcc.target/riscv/rvv/autovec/early-break-4.c -O3 -ftree-vectorize (test for excess errors)
FAIL: gcc.target/riscv/rvv/autovec/early-break-5.c -O3 -ftree-vectorize (internal compiler error: Segmentation fault)
FAIL: gcc.target/riscv/rvv/autovec/early-break-5.c -O3 -ftree-vectorize (test for excess errors)
FAIL: gcc.target/riscv/rvv/autovec/pr112598-1.c -O3 -ftree-vectorize (internal compiler error: Segmentation fault)
FAIL: gcc.target/riscv/rvv/autovec/pr112598-1.c -O3 -ftree-vectorize (test for excess errors)
FAIL: gcc.target/riscv/rvv/autovec/pr113206-1.c -O3 -ftree-vectorize  scan-assembler-times vsetvli 2
FAIL: gcc.target/riscv/rvv/autovec/pr113206-2.c -O3 -ftree-vectorize  scan-assembler-times vsetvli 1
FAIL: gcc.target/riscv/rvv/autovec/pr125994.c -O3 -ftree-vectorize (internal compiler error: Segmentation fault)
FAIL: gcc.target/riscv/rvv/autovec/pr125994.c -O3 -ftree-vectorize (test for excess errors)
FAIL: gcc.target/riscv/rvv/autovec/unop/sew64-rv32.c -ftree-vectorize -O2 -mrvv-max-lmul=dynamic (internal compiler error: Segmentation fault)
FAIL: gcc.target/riscv/rvv/autovec/unop/sew64-rv32.c -ftree-vectorize -O2 -mrvv-max-lmul=dynamic (test for excess errors)
FAIL: gcc.target/riscv/rvv/autovec/unop/sew64-rv32.c -ftree-vectorize -O2 -mrvv-max-lmul=m1 (internal compiler error: Segmentation fault)
FAIL: gcc.target/riscv/rvv/autovec/unop/sew64-rv32.c -ftree-vectorize -O2 -mrvv-max-lmul=m1 (test for excess errors)
FAIL: gcc.target/riscv/rvv/autovec/unop/sew64-rv32.c -ftree-vectorize -O2 -mrvv-max-lmul=m2 (internal compiler error: Segmentation fault)
FAIL: gcc.target/riscv/rvv/autovec/unop/sew64-rv32.c -ftree-vectorize -O2 -mrvv-max-lmul=m2 (test for excess errors)
FAIL: gcc.target/riscv/rvv/autovec/unop/sew64-rv32.c -ftree-vectorize -O2 -mrvv-max-lmul=m4 (internal compiler error: Segmentation fault)
FAIL: gcc.target/riscv/rvv/autovec/unop/sew64-rv32.c -ftree-vectorize -O2 -mrvv-max-lmul=m4 (test for excess errors)
FAIL: gcc.target/riscv/rvv/autovec/unop/sew64-rv32.c -ftree-vectorize -O2 -mrvv-max-lmul=m8 (internal compiler error: Segmentation fault)
FAIL: gcc.target/riscv/rvv/autovec/unop/sew64-rv32.c -ftree-vectorize -O2 -mrvv-max-lmul=m8 (test for excess errors)
FAIL: gcc.target/riscv/rvv/autovec/unop/sew64-rv32.c -ftree-vectorize -O3 -mrvv-max-lmul=dynamic (internal compiler error: Segmentation fault)
FAIL: gcc.target/riscv/rvv/autovec/unop/sew64-rv32.c -ftree-vectorize -O3 -mrvv-max-lmul=dynamic (test for excess errors)
FAIL: gcc.target/riscv/rvv/autovec/unop/sew64-rv32.c -ftree-vectorize -O3 -mrvv-max-lmul=m1 (internal compiler error: Segmentation fault)
FAIL: gcc.target/riscv/rvv/autovec/unop/sew64-rv32.c -ftree-vectorize -O3 -mrvv-max-lmul=m1 (test for excess errors)
FAIL: gcc.target/riscv/rvv/autovec/unop/sew64-rv32.c -ftree-vectorize -O3 -mrvv-max-lmul=m2 (internal compiler error: Segmentation fault)
FAIL: gcc.target/riscv/rvv/autovec/unop/sew64-rv32.c -ftree-vectorize -O3 -mrvv-max-lmul=m2 (test for excess errors)
FAIL: gcc.target/riscv/rvv/autovec/unop/sew64-rv32.c -ftree-vectorize -O3 -mrvv-max-lmul=m4 (internal compiler error: Segmentation fault)
FAIL: gcc.target/riscv/rvv/autovec/unop/sew64-rv32.c -ftree-vectorize -O3 -mrvv-max-lmul=m4 (test for excess errors)
FAIL: gcc.target/riscv/rvv/autovec/unop/sew64-rv32.c -ftree-vectorize -O3 -mrvv-max-lmul=m8 (internal compiler error: Segmentation fault)
FAIL: gcc.target/riscv/rvv/autovec/unop/sew64-rv32.c -ftree-vectorize -O3 -mrvv-max-lmul=m8 (test for excess errors)
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-4-i64.c -ftree-vectorize -O3 -mrvv-vector-bits=zvl -mrvv-max-lmul=dynamic -ffast-math  scan-assembler-not vsadd.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-4-i64.c -ftree-vectorize -O3 -mrvv-vector-bits=zvl -mrvv-max-lmul=dynamic -ffast-math  scan-assembler-not vssub.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-4-i64.c -ftree-vectorize -O3 -mrvv-vector-bits=zvl -mrvv-max-lmul=m1 -ffast-math  scan-assembler-not vsadd.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-4-i64.c -ftree-vectorize -O3 -mrvv-vector-bits=zvl -mrvv-max-lmul=m1 -ffast-math  scan-assembler-not vssub.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-4-i64.c -ftree-vectorize -O3 -mrvv-vector-bits=zvl -mrvv-max-lmul=m2 -ffast-math  scan-assembler-not vsadd.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-4-i64.c -ftree-vectorize -O3 -mrvv-vector-bits=zvl -mrvv-max-lmul=m2 -ffast-math  scan-assembler-not vssub.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-4-i64.c -ftree-vectorize -O3 -mrvv-vector-bits=zvl -mrvv-max-lmul=m4 -ffast-math  scan-assembler-not vsadd.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-4-i64.c -ftree-vectorize -O3 -mrvv-vector-bits=zvl -mrvv-max-lmul=m4 -ffast-math  scan-assembler-not vssub.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-4-i64.c -ftree-vectorize -O3 -mrvv-vector-bits=zvl -mrvv-max-lmul=m8 -ffast-math  scan-assembler-not vsadd.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-4-i64.c -ftree-vectorize -O3 -mrvv-vector-bits=zvl -mrvv-max-lmul=m8 -ffast-math  scan-assembler-not vssub.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-4-u64.c -ftree-vectorize -O3 -mrvv-vector-bits=zvl -mrvv-max-lmul=dynamic -ffast-math  scan-assembler-not vsaddu.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-4-u64.c -ftree-vectorize -O3 -mrvv-vector-bits=zvl -mrvv-max-lmul=dynamic -ffast-math  scan-assembler-not vssubu.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-4-u64.c -ftree-vectorize -O3 -mrvv-vector-bits=zvl -mrvv-max-lmul=m1 -ffast-math  scan-assembler-not vsaddu.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-4-u64.c -ftree-vectorize -O3 -mrvv-vector-bits=zvl -mrvv-max-lmul=m1 -ffast-math  scan-assembler-not vssubu.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-4-u64.c -ftree-vectorize -O3 -mrvv-vector-bits=zvl -mrvv-max-lmul=m2 -ffast-math  scan-assembler-not vsaddu.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-4-u64.c -ftree-vectorize -O3 -mrvv-vector-bits=zvl -mrvv-max-lmul=m2 -ffast-math  scan-assembler-not vssubu.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-4-u64.c -ftree-vectorize -O3 -mrvv-vector-bits=zvl -mrvv-max-lmul=m4 -ffast-math  scan-assembler-not vsaddu.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-4-u64.c -ftree-vectorize -O3 -mrvv-vector-bits=zvl -mrvv-max-lmul=m4 -ffast-math  scan-assembler-not vssubu.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-4-u64.c -ftree-vectorize -O3 -mrvv-vector-bits=zvl -mrvv-max-lmul=m8 -ffast-math  scan-assembler-not vsaddu.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-4-u64.c -ftree-vectorize -O3 -mrvv-vector-bits=zvl -mrvv-max-lmul=m8 -ffast-math  scan-assembler-not vssubu.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-5-i32.c -ftree-vectorize -O3 -mrvv-vector-bits=scalable -mrvv-max-lmul=dynamic -ffast-math  scan-assembler-not vsadd.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-5-i32.c -ftree-vectorize -O3 -mrvv-vector-bits=scalable -mrvv-max-lmul=dynamic -ffast-math  scan-assembler-not vssub.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-5-i32.c -ftree-vectorize -O3 -mrvv-vector-bits=scalable -mrvv-max-lmul=m1 -ffast-math  scan-assembler-not vsadd.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-5-i32.c -ftree-vectorize -O3 -mrvv-vector-bits=scalable -mrvv-max-lmul=m1 -ffast-math  scan-assembler-not vssub.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-5-i32.c -ftree-vectorize -O3 -mrvv-vector-bits=scalable -mrvv-max-lmul=m2 -ffast-math  scan-assembler-not vsadd.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-5-i32.c -ftree-vectorize -O3 -mrvv-vector-bits=scalable -mrvv-max-lmul=m2 -ffast-math  scan-assembler-not vssub.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-5-i32.c -ftree-vectorize -O3 -mrvv-vector-bits=scalable -mrvv-max-lmul=m4 -ffast-math  scan-assembler-not vsadd.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-5-i32.c -ftree-vectorize -O3 -mrvv-vector-bits=scalable -mrvv-max-lmul=m4 -ffast-math  scan-assembler-not vssub.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-5-i32.c -ftree-vectorize -O3 -mrvv-vector-bits=scalable -mrvv-max-lmul=m8 -ffast-math  scan-assembler-not vsadd.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-5-i32.c -ftree-vectorize -O3 -mrvv-vector-bits=scalable -mrvv-max-lmul=m8 -ffast-math  scan-assembler-not vssub.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-5-i32.c -ftree-vectorize -O3 -mrvv-vector-bits=zvl -mrvv-max-lmul=dynamic -ffast-math  scan-assembler-not vsadd.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-5-i32.c -ftree-vectorize -O3 -mrvv-vector-bits=zvl -mrvv-max-lmul=dynamic -ffast-math  scan-assembler-not vssub.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-5-i32.c -ftree-vectorize -O3 -mrvv-vector-bits=zvl -mrvv-max-lmul=m1 -ffast-math  scan-assembler-not vsadd.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-5-i32.c -ftree-vectorize -O3 -mrvv-vector-bits=zvl -mrvv-max-lmul=m1 -ffast-math  scan-assembler-not vssub.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-5-i32.c -ftree-vectorize -O3 -mrvv-vector-bits=zvl -mrvv-max-lmul=m2 -ffast-math  scan-assembler-not vsadd.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-5-i32.c -ftree-vectorize -O3 -mrvv-vector-bits=zvl -mrvv-max-lmul=m2 -ffast-math  scan-assembler-not vssub.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-5-i32.c -ftree-vectorize -O3 -mrvv-vector-bits=zvl -mrvv-max-lmul=m4 -ffast-math  scan-assembler-not vsadd.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-5-i32.c -ftree-vectorize -O3 -mrvv-vector-bits=zvl -mrvv-max-lmul=m4 -ffast-math  scan-assembler-not vssub.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-5-i32.c -ftree-vectorize -O3 -mrvv-vector-bits=zvl -mrvv-max-lmul=m8 -ffast-math  scan-assembler-not vsadd.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-5-i32.c -ftree-vectorize -O3 -mrvv-vector-bits=zvl -mrvv-max-lmul=m8 -ffast-math  scan-assembler-not vssub.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-5-i64.c -ftree-vectorize -O3 -mrvv-vector-bits=zvl -mrvv-max-lmul=dynamic -ffast-math  scan-assembler-not vsadd.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-5-i64.c -ftree-vectorize -O3 -mrvv-vector-bits=zvl -mrvv-max-lmul=dynamic -ffast-math  scan-assembler-not vssub.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-5-i64.c -ftree-vectorize -O3 -mrvv-vector-bits=zvl -mrvv-max-lmul=m1 -ffast-math  scan-assembler-not vsadd.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-5-i64.c -ftree-vectorize -O3 -mrvv-vector-bits=zvl -mrvv-max-lmul=m1 -ffast-math  scan-assembler-not vssub.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-5-i64.c -ftree-vectorize -O3 -mrvv-vector-bits=zvl -mrvv-max-lmul=m2 -ffast-math  scan-assembler-not vsadd.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-5-i64.c -ftree-vectorize -O3 -mrvv-vector-bits=zvl -mrvv-max-lmul=m2 -ffast-math  scan-assembler-not vssub.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-5-i64.c -ftree-vectorize -O3 -mrvv-vector-bits=zvl -mrvv-max-lmul=m4 -ffast-math  scan-assembler-not vsadd.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-5-i64.c -ftree-vectorize -O3 -mrvv-vector-bits=zvl -mrvv-max-lmul=m4 -ffast-math  scan-assembler-not vssub.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-5-i64.c -ftree-vectorize -O3 -mrvv-vector-bits=zvl -mrvv-max-lmul=m8 -ffast-math  scan-assembler-not vsadd.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-5-i64.c -ftree-vectorize -O3 -mrvv-vector-bits=zvl -mrvv-max-lmul=m8 -ffast-math  scan-assembler-not vssub.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-5-u64.c -ftree-vectorize -O3 -mrvv-vector-bits=zvl -mrvv-max-lmul=dynamic -ffast-math  scan-assembler-not vsaddu.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-5-u64.c -ftree-vectorize -O3 -mrvv-vector-bits=zvl -mrvv-max-lmul=dynamic -ffast-math  scan-assembler-not vssubu.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-5-u64.c -ftree-vectorize -O3 -mrvv-vector-bits=zvl -mrvv-max-lmul=m1 -ffast-math  scan-assembler-not vsaddu.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-5-u64.c -ftree-vectorize -O3 -mrvv-vector-bits=zvl -mrvv-max-lmul=m1 -ffast-math  scan-assembler-not vssubu.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-5-u64.c -ftree-vectorize -O3 -mrvv-vector-bits=zvl -mrvv-max-lmul=m2 -ffast-math  scan-assembler-not vsaddu.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-5-u64.c -ftree-vectorize -O3 -mrvv-vector-bits=zvl -mrvv-max-lmul=m2 -ffast-math  scan-assembler-not vssubu.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-5-u64.c -ftree-vectorize -O3 -mrvv-vector-bits=zvl -mrvv-max-lmul=m4 -ffast-math  scan-assembler-not vsaddu.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-5-u64.c -ftree-vectorize -O3 -mrvv-vector-bits=zvl -mrvv-max-lmul=m4 -ffast-math  scan-assembler-not vssubu.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-5-u64.c -ftree-vectorize -O3 -mrvv-vector-bits=zvl -mrvv-max-lmul=m8 -ffast-math  scan-assembler-not vsaddu.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-5-u64.c -ftree-vectorize -O3 -mrvv-vector-bits=zvl -mrvv-max-lmul=m8 -ffast-math  scan-assembler-not vssubu.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-6-i32.c -ftree-vectorize -O3 -mrvv-vector-bits=scalable -mrvv-max-lmul=dynamic -ffast-math  scan-assembler-not vsadd.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-6-i32.c -ftree-vectorize -O3 -mrvv-vector-bits=scalable -mrvv-max-lmul=dynamic -ffast-math  scan-assembler-not vssub.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-6-i32.c -ftree-vectorize -O3 -mrvv-vector-bits=scalable -mrvv-max-lmul=m1 -ffast-math  scan-assembler-not vsadd.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-6-i32.c -ftree-vectorize -O3 -mrvv-vector-bits=scalable -mrvv-max-lmul=m1 -ffast-math  scan-assembler-not vssub.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-6-i32.c -ftree-vectorize -O3 -mrvv-vector-bits=scalable -mrvv-max-lmul=m2 -ffast-math  scan-assembler-not vsadd.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-6-i32.c -ftree-vectorize -O3 -mrvv-vector-bits=scalable -mrvv-max-lmul=m2 -ffast-math  scan-assembler-not vssub.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-6-i32.c -ftree-vectorize -O3 -mrvv-vector-bits=scalable -mrvv-max-lmul=m4 -ffast-math  scan-assembler-not vsadd.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-6-i32.c -ftree-vectorize -O3 -mrvv-vector-bits=scalable -mrvv-max-lmul=m4 -ffast-math  scan-assembler-not vssub.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-6-i32.c -ftree-vectorize -O3 -mrvv-vector-bits=scalable -mrvv-max-lmul=m8 -ffast-math  scan-assembler-not vsadd.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-6-i32.c -ftree-vectorize -O3 -mrvv-vector-bits=scalable -mrvv-max-lmul=m8 -ffast-math  scan-assembler-not vssub.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-6-i32.c -ftree-vectorize -O3 -mrvv-vector-bits=zvl -mrvv-max-lmul=dynamic -ffast-math  scan-assembler-not vsadd.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-6-i32.c -ftree-vectorize -O3 -mrvv-vector-bits=zvl -mrvv-max-lmul=dynamic -ffast-math  scan-assembler-not vssub.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-6-i32.c -ftree-vectorize -O3 -mrvv-vector-bits=zvl -mrvv-max-lmul=m1 -ffast-math  scan-assembler-not vsadd.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-6-i32.c -ftree-vectorize -O3 -mrvv-vector-bits=zvl -mrvv-max-lmul=m1 -ffast-math  scan-assembler-not vssub.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-6-i32.c -ftree-vectorize -O3 -mrvv-vector-bits=zvl -mrvv-max-lmul=m2 -ffast-math  scan-assembler-not vsadd.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-6-i32.c -ftree-vectorize -O3 -mrvv-vector-bits=zvl -mrvv-max-lmul=m2 -ffast-math  scan-assembler-not vssub.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-6-i32.c -ftree-vectorize -O3 -mrvv-vector-bits=zvl -mrvv-max-lmul=m4 -ffast-math  scan-assembler-not vsadd.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-6-i32.c -ftree-vectorize -O3 -mrvv-vector-bits=zvl -mrvv-max-lmul=m4 -ffast-math  scan-assembler-not vssub.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-6-i32.c -ftree-vectorize -O3 -mrvv-vector-bits=zvl -mrvv-max-lmul=m8 -ffast-math  scan-assembler-not vsadd.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-6-i32.c -ftree-vectorize -O3 -mrvv-vector-bits=zvl -mrvv-max-lmul=m8 -ffast-math  scan-assembler-not vssub.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-6-i64.c -ftree-vectorize -O3 -mrvv-vector-bits=zvl -mrvv-max-lmul=dynamic -ffast-math  scan-assembler-not vsadd.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-6-i64.c -ftree-vectorize -O3 -mrvv-vector-bits=zvl -mrvv-max-lmul=dynamic -ffast-math  scan-assembler-not vssub.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-6-i64.c -ftree-vectorize -O3 -mrvv-vector-bits=zvl -mrvv-max-lmul=m1 -ffast-math  scan-assembler-not vsadd.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-6-i64.c -ftree-vectorize -O3 -mrvv-vector-bits=zvl -mrvv-max-lmul=m1 -ffast-math  scan-assembler-not vssub.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-6-i64.c -ftree-vectorize -O3 -mrvv-vector-bits=zvl -mrvv-max-lmul=m2 -ffast-math  scan-assembler-not vsadd.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-6-i64.c -ftree-vectorize -O3 -mrvv-vector-bits=zvl -mrvv-max-lmul=m2 -ffast-math  scan-assembler-not vssub.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-6-i64.c -ftree-vectorize -O3 -mrvv-vector-bits=zvl -mrvv-max-lmul=m4 -ffast-math  scan-assembler-not vsadd.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-6-i64.c -ftree-vectorize -O3 -mrvv-vector-bits=zvl -mrvv-max-lmul=m4 -ffast-math  scan-assembler-not vssub.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-6-i64.c -ftree-vectorize -O3 -mrvv-vector-bits=zvl -mrvv-max-lmul=m8 -ffast-math  scan-assembler-not vsadd.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-6-i64.c -ftree-vectorize -O3 -mrvv-vector-bits=zvl -mrvv-max-lmul=m8 -ffast-math  scan-assembler-not vssub.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-6-u64.c -ftree-vectorize -O3 -mrvv-vector-bits=scalable -mrvv-max-lmul=dynamic -ffast-math  scan-assembler-not vaaddu.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-6-u64.c -ftree-vectorize -O3 -mrvv-vector-bits=scalable -mrvv-max-lmul=m1 -ffast-math  scan-assembler-not vaaddu.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-6-u64.c -ftree-vectorize -O3 -mrvv-vector-bits=scalable -mrvv-max-lmul=m2 -ffast-math  scan-assembler-not vaaddu.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-6-u64.c -ftree-vectorize -O3 -mrvv-vector-bits=scalable -mrvv-max-lmul=m8 -ffast-math  scan-assembler-not vaaddu.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-6-u64.c -ftree-vectorize -O3 -mrvv-vector-bits=zvl -mrvv-max-lmul=dynamic -ffast-math  scan-assembler-not vaaddu.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-6-u64.c -ftree-vectorize -O3 -mrvv-vector-bits=zvl -mrvv-max-lmul=dynamic -ffast-math  scan-assembler-not vsaddu.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-6-u64.c -ftree-vectorize -O3 -mrvv-vector-bits=zvl -mrvv-max-lmul=dynamic -ffast-math  scan-assembler-not vssubu.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-6-u64.c -ftree-vectorize -O3 -mrvv-vector-bits=zvl -mrvv-max-lmul=m1 -ffast-math  scan-assembler-not vaaddu.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-6-u64.c -ftree-vectorize -O3 -mrvv-vector-bits=zvl -mrvv-max-lmul=m1 -ffast-math  scan-assembler-not vsaddu.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-6-u64.c -ftree-vectorize -O3 -mrvv-vector-bits=zvl -mrvv-max-lmul=m1 -ffast-math  scan-assembler-not vssubu.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-6-u64.c -ftree-vectorize -O3 -mrvv-vector-bits=zvl -mrvv-max-lmul=m2 -ffast-math  scan-assembler-not vaaddu.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-6-u64.c -ftree-vectorize -O3 -mrvv-vector-bits=zvl -mrvv-max-lmul=m2 -ffast-math  scan-assembler-not vsaddu.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-6-u64.c -ftree-vectorize -O3 -mrvv-vector-bits=zvl -mrvv-max-lmul=m2 -ffast-math  scan-assembler-not vssubu.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-6-u64.c -ftree-vectorize -O3 -mrvv-vector-bits=zvl -mrvv-max-lmul=m4 -ffast-math  scan-assembler-not vsaddu.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-6-u64.c -ftree-vectorize -O3 -mrvv-vector-bits=zvl -mrvv-max-lmul=m4 -ffast-math  scan-assembler-not vssubu.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-6-u64.c -ftree-vectorize -O3 -mrvv-vector-bits=zvl -mrvv-max-lmul=m8 -ffast-math  scan-assembler-not vaaddu.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-6-u64.c -ftree-vectorize -O3 -mrvv-vector-bits=zvl -mrvv-max-lmul=m8 -ffast-math  scan-assembler-not vsaddu.vx
FAIL: gcc.target/riscv/rvv/autovec/vx_vf/vx-6-u64.c -ftree-vectorize -O3 -mrvv-vector-bits=zvl -mrvv-max-lmul=m8 -ffast-math  scan-assembler-not vssubu.vx
FAIL: gcc.target/riscv/rvv/vsetvl/pr117974.c   -O0   scan-assembler-times beq\\s+[a-x0-9]+,zero,.L12\\s+vsetvli 3
FAIL: gcc.target/riscv/rvv/vsetvl/pr117974.c   -O1   scan-assembler-times beq\\s+[a-x0-9]+,zero,.L12\\s+vsetvli 3
FAIL: gcc.target/riscv/rvv/vsetvl/pr117974.c   -O2   scan-assembler-times beq\\s+[a-x0-9]+,zero,.L12\\s+vsetvli 3
FAIL: gcc.target/riscv/rvv/vsetvl/pr117974.c   -O2 -flto -fno-use-linker-plugin -flto-partition=none   scan-assembler-times beq\\s+[a-x0-9]+,zero,.L12\\s+vsetvli 3
FAIL: gcc.target/riscv/rvv/vsetvl/pr117974.c   -O2 -flto -fuse-linker-plugin -fno-fat-lto-objects   scan-assembler-times beq\\s+[a-x0-9]+,zero,.L12\\s+vsetvli 3
